Name, ScientificName
Apple,Pyrus malus
Apricot,Prunus armeniaca
Avocado,Persea americana
Banana,Musa paradisicum
Black berry,Rubus fruticosus
Blackcurrant,Ribes nigrum
Blueberry,Vaccinium cyanococcus
Brinjal,Solanum melongena
Cantaloupe,Cucumis melo
Capsicum,Capsicum fruitscence
Carrot,Daucas carota
Cashew nut,Anacardium occidentale
Cherry,Prunus avium
Chili,Capsicum annuum
Clove,Syzygium aromaticum
Coconut,Cocos nucifera
Coriander,Coriandrum sativum
Cucumber,Cucumis sativas
Date,Phoenix dactylifera
Dragon fruit,Hylocereus undutus
Eggplant,Solanum melongena
Fig,Ficus carica
Garlic,Allium sativum
Gooseberry,Ribes uva-crispa
Grapes,Vitis vinifera
Guava,Psidium guava
Honey dew,Cucumis melo
Jack fruit,Artocarpus integra
Kiwi fruit,Actinidia deliciosa
Lemon,Citrus Limonium
Lettuce,Lactuca sativa
Lime,Citrus latifolia
Lychee,Litchi chinensis
Mandarin,Citrus reticulata
Mango,Mangifera indica
Mulberry,Morus alba
Nectarine,Prunus persica
Onion,Allium cepa
Orange,Citrus aurantium
Papaya,Carica papaya
Passionfruit,Passiflora edulis
Pea,Pisum sativam
Pear,Pyrus communis
Peepal,Ficus religiosa Linn
Persimmon,Diospyros kaki
Pineapple,Ananus sativus
Plum,Prunus domestica
Pomegranate,Punica granatum
Potato,Solanum tubersum 
Prickly pear,Opuntia stricta
Quandong,Santalum acuminatum
Quince,Cydonia oblonga
Radish,Raphanus sativus
Raspberry,Rubus idaeobatus
Redcurrant,Ribes rubrum
Spinach,Spinacia oleracea
Star fruit,Averrhoa carambola
Tomato,Lycopersican esculentum
Turmeric,Curcuma longa
Watermelon,Citrullus vulgaris
